Protein	Gene	Description	N	logFC	AveExpr	t	P.Value	adj.P.Val	B	logFCcontrol	ER_0min	ER_45min	IgG	PR590:ER 0min	PR590:ER 45min	PR590:IgG	PR622:ER 0min	PR622:ER 45min	PR622:IgG	PR650:ER 0min	PR650:ER 45min	PR650:IgG
A6NDG6	PGP	Phosphoglycolate phosphatase OS=Homo sapiens GN=PGP PE=1 SV=1	2	-0.466553551785307	5.54095774367485	NA	NA	NA	NA	0.441455876714956	6.01909746885875	5.55254391707344	5.57764159214379	5.73529006482867	5.4236261895889	5.88682882127555	6.1339861834277	5.51254295509686	5.09953567355091	NA	NA	NA
A6NDU8	CE051	UPF0600 protein C5orf51 OS=Homo sapiens GN=C5orf51 PE=1 SV=1	2	-0.386165899872053	6.29405261381605	NA	NA	NA	NA	0.380017752936241	6.80540050909449	6.41923460922244	6.42538275615825	6.77346892790519	6.637452922585	6.19658456363045	6.12633573289463	5.49001993847072	5.94318459129689	NA	NA	NA
A8MWD9	RUXGL	Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens GN=SNRPGP15 PE=5 SV=2	3	-0.0483824993044077	7.58637630600863	-0.294700693481652	0.771601472790829	0.939805162048106	-7.05485502507114	-0.0317596744318296	6.99829474606056	6.94991224675615	7.03005442049239	6.90482812915163	6.7666708758672	6.98397078970631	8.63753055152531	8.76204977361429	8.58941038747495	6.99790528409824	6.86639581738046	7.06216181088941
B5ME19	EIFCL	Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens GN=EIF3CL PE=3 SV=1	2	0.480985349203714	8.29129559473397	NA	NA	NA	NA	0.0210583934319484	7.56598303911704	8.04696838832075	8.0259099948888	7.73664352807694	8.31054786703643	8.28424574982967	8.89217415429853	9.28024051374647	9.26442584408933	NA	NA	NA
B9A064	IGLL5	Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens GN=IGLL5 PE=2 SV=2	3	-0.128468744656553	9.11633309274947	-0.435606597765311	0.668311861787221	0.908420193339004	-7.0013152968092	-2.68619960350515	8.17102743080457	8.04255868614802	10.8572270343097	7.84960615941661	7.67040334438628	11.1746760596882	8.43409203158389	8.411450458316	10.2833529827383	8.17912712219911	7.99556527652767	11.0633950812885
E9PAV3	NACAM	Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens GN=NACA PE=1 SV=1	3	-0.0565663049195724	7.55268763060737	-0.248801063155297	0.806337249492203	0.950488832197775	-7.06788060908613	-0.458480130291698	6.49051093804539	6.43394463312581	6.94899106833708	6.66371057405775	6.16920920135773	6.75755668893945	8.94911800527926	9.41608874586652	9.45594362494581	7.10927100015363	6.96710271750768	7.88403965648048
O00151	PDLI1	PDZ and LIM domain protein 1 OS=Homo sapiens GN=PDLIM1 PE=1 SV=4	3	-0.180013232170584	6.92988905866452	-0.835914475521848	0.41418512267808	0.777971845424395	-6.74090581131335	-0.520310848555674	6.8437760045751	6.66376277240452	7.36408685313077	6.87265289617867	6.65146178073282	7.91104951846922	8.30514974563003	8.18699851480125	8.52042224852645	5.69209237542757	5.49139502519044	5.99935579590763
O00170	AIP	AH receptor-interacting protein OS=Homo sapiens GN=AIP PE=1 SV=2	2	-1.04038598723085	6.88959731462166	NA	NA	NA	NA	1.13281413005408	6.87340687487267	5.83302088764182	5.74059274481859	6.98397078970631	5.80919392172139	5.76344951566689	8.62210412797294	7.71610902149617	7.57699714190419	NA	NA	NA
O00193	SMAP	Small acidic protein OS=Homo sapiens GN=SMAP PE=1 SV=1	1	-0.410230754508157	7.20265487566763	NA	NA	NA	NA	0.235791338331778	7.15669708898325	6.74646633447509	6.92090575065147	7.15669708898325	6.74646633447509	6.92090575065147	NA	NA	NA	NA	NA	NA
O00232	PSD12	26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens GN=PSMD12 PE=1 SV=3	2	-0.104906135245169	7.91585245198975	NA	NA	NA	NA	-0.458183254194216	8.26384354802383	8.15893741277866	8.72202680221804	8.28553432774388	7.92650779762094	9.01300356811629	7.69949809203539	7.848712351668	7.88839536005141	NA	NA	NA
