Protein	Gene	Description	N	logFC	AveExpr	t	P.Value	adj.P.Val	B	logFCcontrol	FOXA1_45min	FOXA1_90min	IgG	PR590:FOXA1 45min	PR590:FOXA1 90min	PR590:IgG	PR622:FOXA1 45min	PR622:FOXA1 90min	PR622:IgG	PR650:FOXA1 45min	PR650:FOXA1 90min	PR650:IgG
A6NDG6	PGP	Phosphoglycolate phosphatase OS=Homo sapiens GN=PGP PE=1 SV=1	2	-0.33800572750556	5.54095774367485	NA	NA	NA	NA	0.177942638312937	5.75558423045673	5.41757850295117	5.57764159214379	5.64220645255563	5.69288944453121	5.88682882127555	5.7000433188967	4.97334887191	5.09953567355091	NA	NA	NA
A6NDU8	CE051	UPF0600 protein C5orf51 OS=Homo sapiens GN=C5orf51 PE=1 SV=1	2	-0.31098526720242	6.29405261381605	NA	NA	NA	NA	0.618994759061386	7.04437751521964	6.73339224801722	6.42538275615825	6.79979041893185	6.76629226543572	6.19658456363045	6.57796825411827	5.98949587320956	5.94318459129689	NA	NA	NA
A8MWD9	RUXGL	Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens GN=SNRPGP15 PE=5 SV=2	3	0.177547977379492	7.58637630600863	1.08145533637685	0.293800883215556	0.998831774527715	-4.58904307765886	0.186315269571401	7.0388217126843	7.21636969006379	7.03005442049239	7.16920920135773	7.26812422743041	6.98397078970631	8.35557133839774	8.81158112210461	8.58941038747495	7.13706432489093	7.11478344724985	7.06216181088941
B5ME19	EIFCL	Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens GN=EIF3CL PE=3 SV=1	2	-0.286712162963377	8.29129559473397	NA	NA	NA	NA	-0.916258524006957	7.10965147088185	6.82293930791847	8.0259099948888	7.0175242851298	6.49116593506834	8.28424574982967	8.69863026077529	8.65156428490999	9.26442584408933	NA	NA	NA
B9A064	IGLL5	Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens GN=IGLL5 PE=2 SV=2	3	-0.111335156048227	9.11633309274947	-0.377510721907442	0.710217741193199	0.998831774527715	-4.66566375083685	-1.24670281164632	9.6105242226634	9.49918906661518	10.8572270343097	9.70735913208088	9.75967422345563	11.1746760596882	10.0422651987122	9.66439648900396	10.2833529827383	9.03169135798297	9.02323950817182	11.0633950812885
E9PAV3	NACAM	Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens GN=NACA PE=1 SV=1	3	0.233304877178598	7.55268763060737	1.02616746071505	0.318434531359044	0.998831774527715	-4.597350015376	-0.531680465291236	6.18400572586725	6.41731060304585	6.94899106833708	6.40258575823259	6.61828061331015	6.75755668893945	8.91894839975748	9.02321970276652	9.45594362494581	6.48104978496617	6.86099825841535	7.88403965648048
O00151	PDLI1	PDZ and LIM domain protein 1 OS=Homo sapiens GN=PDLIM1 PE=1 SV=4	3	0.0591704508145776	6.92988905866452	0.274765558968401	0.786631778105223	0.998831774527715	-4.6709440002521	-0.603062559196927	6.70185384311927	6.76102429393385	7.36408685313077	6.57969306345875	6.55283374800511	7.91104951846922	8.41794290648023	8.30365029969011	8.52042224852645	5.4464925629298	5.7651558376173	5.99935579590763
O00170	AIP	AH receptor-interacting protein OS=Homo sapiens GN=AIP PE=1 SV=2	2	-0.0321694830886585	6.88959731462166	NA	NA	NA	NA	0.00648029816100504	5.74707304297959	5.71490355989093	5.74059274481859	5.8152460422538	5.66106547980695	5.76344951566689	7.53816121163929	7.62800280790883	7.57699714190419	NA	NA	NA
O00193	SMAP	Small acidic protein OS=Homo sapiens GN=SMAP PE=1 SV=1	1	-0.0692054566251379	7.20265487566763	NA	NA	NA	NA	0.685684529719059	7.60659028037053	7.53738482374539	6.92090575065147	7.60659028037053	7.53738482374539	6.92090575065147	NA	NA	NA	NA	NA	NA
O00232	PSD12	26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens GN=PSMD12 PE=1 SV=3	2	-0.260331403025083	7.91585245198975	NA	NA	NA	NA	-0.548423854020387	8.17360294819766	7.91327154517258	8.72202680221804	8.18763485754812	8.06485822191817	9.01300356811629	7.61691636257881	7.2190301921586	7.88839536005141	NA	NA	NA
