Protein	Gene	Description	N	logFC	AveExpr	t	P.Value	adj.P.Val	B	logFCcontrol	ER_45min	ER_90min	IgG	PR590:ER 45min	PR590:ER 90min	PR590:IgG	PR622:ER 45min	PR622:ER 90min	PR622:IgG	PR650:ER 45min	PR650:ER 90min	PR650:IgG
A6NDG6	PGP	Phosphoglycolate phosphatase OS=Homo sapiens GN=PGP PE=1 SV=1	2	-0.109819183353313	5.54095774367485	NA	NA	NA	NA	-0.0250976750703504	5.55254391707344	5.44272473372013	5.57764159214379	5.4236261895889	5.3474631869945	5.88682882127555	5.51254295509686	5.36906759098463	5.09953567355091	NA	NA	NA
A6NDU8	CE051	UPF0600 protein C5orf51 OS=Homo sapiens GN=C5orf51 PE=1 SV=1	2	0.0384102731994762	6.29405261381605	NA	NA	NA	NA	0.0322621262636646	6.41923460922244	6.45764488242192	6.42538275615825	6.637452922585	6.76752238622854	6.19658456363045	5.49001993847072	5.43677102122613	5.94318459129689	NA	NA	NA
A8MWD9	RUXGL	Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens GN=SNRPGP15 PE=5 SV=2	3	0.0197043009596243	7.58637630600863	0.120020074218105	0.905799521547556	0.998148607345206	-4.67578899075643	-0.0604378727766131	6.94991224675615	6.96961654771578	7.03005442049239	6.7666708758672	7.04751346120263	6.98397078970631	8.76204977361429	8.55398577559104	8.58941038747495	6.86639581738046	6.85273013294716	7.06216181088941
B5ME19	EIFCL	Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens GN=EIF3CL PE=3 SV=1	2	-0.0132279052206936	8.29129559473397	NA	NA	NA	NA	0.0210583934319484	8.04696838832075	8.03374048310006	8.0259099948888	8.31054786703643	8.18724601477824	8.28424574982967	9.28024051374647	9.37708655556327	9.26442584408933	NA	NA	NA
B9A064	IGLL5	Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens GN=IGLL5 PE=2 SV=2	3	0.0310479957550864	9.11633309274947	0.105276282059592	0.917323322767456	0.998148607345206	-4.67605330077537	-2.78362035240662	8.04255868614802	8.07360668190311	10.8572270343097	7.67040334438628	7.67766931126577	11.1746760596882	8.411450458316	8.47425640211913	10.2833529827383	7.99556527652767	8.01863735311031	11.0633950812885
E9PAV3	NACAM	Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens GN=NACA PE=1 SV=1	3	0.0483890465413097	7.55268763060737	0.212834234827019	0.833853082504918	0.998148607345206	-4.67333510150719	-0.466657388669961	6.43394463312581	6.48233367966712	6.94899106833708	6.16920920135773	6.3332192556523	6.75755668893945	9.41608874586652	9.26541412335509	9.45594362494581	6.96710271750768	7.09893442534847	7.88403965648048
O00151	PDLI1	PDZ and LIM domain protein 1 OS=Homo sapiens GN=PDLIM1 PE=1 SV=4	3	0.0397499614855628	6.92988905866452	0.184584031998997	0.855623364627139	0.998148607345206	-4.67422597669385	-0.660574119240695	6.66376277240452	6.70351273389008	7.36408685313077	6.65146178073282	6.59629626347463	7.91104951846922	8.18699851480125	8.3132069743853	8.52042224852645	5.49139502519044	5.53960196732128	5.99935579590763
O00170	AIP	AH receptor-interacting protein OS=Homo sapiens GN=AIP PE=1 SV=2	2	0.170858806197853	6.88959731462166	NA	NA	NA	NA	0.263286949021084	5.83302088764182	6.00387969383967	5.74059274481859	5.80919392172139	6.02822182298115	5.76344951566689	7.71610902149617	7.8387987326321	7.57699714190419	NA	NA	NA
O00193	SMAP	Small acidic protein OS=Homo sapiens GN=SMAP PE=1 SV=1	1	0.132591725819593	7.20265487566763	NA	NA	NA	NA	-0.0418476903567857	6.74646633447509	6.87905806029468	6.92090575065147	6.74646633447509	6.87905806029468	6.92090575065147	NA	NA	NA	NA	NA	NA
O00232	PSD12	26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens GN=PSMD12 PE=1 SV=3	2	-0.127267147933576	7.91585245198975	NA	NA	NA	NA	-0.563089389439385	8.15893741277866	8.03167026484508	8.72202680221804	7.92650779762094	7.94293334553405	9.01300356811629	7.848712351668	7.57775250788773	7.88839536005141	NA	NA	NA
O00233	PSMD9	26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens GN=PSMD9 PE=1 SV=3	2	0.0910170706491336	8.07244044830489	NA	NA	NA	NA	-0.0349279789411359	8.17271030605892	8.26372737670806	8.29865535564919	8.06046434086261	8.18097472717348	8.2701284348019	7.4734738330428	7.53499758803019	7.51569983828404	NA	NA	NA
O00267	SPT5H	Transcription elongation factor SPT5 OS=Homo sapiens GN=SUPT5H PE=1 SV=1	1	0.17399393311557	4.30026994847615	NA	NA	NA	NA	-0.285224872485193	3.72324649245923	3.8972404255748	4.18246529805999	3.72324649245923	3.8972404255748	4.18246529805999	NA	NA	NA	NA	NA	NA
