Protein	Gene	Description	N	logFC	AveExpr	t	P.Value	adj.P.Val	B	logFCcontrol	FOXA1_0min	FOXA1_90min	IgG	PR590:FOXA1 0min	PR590:FOXA1 90min	PR590:IgG	PR622:FOXA1 0min	PR622:FOXA1 90min	PR622:IgG	PR650:FOXA1 0min	PR650:FOXA1 90min	PR650:IgG
A6NDG6	PGP	Phosphoglycolate phosphatase OS=Homo sapiens GN=PGP PE=1 SV=1	2	-0.19517067068268	5.54095774367485	NA	NA	NA	NA	0.035107581490057	5.61274917363385	5.41757850295117	5.57764159214379	5.64961545906341	5.69288944453121	5.88682882127555	5.40696419874316	4.97334887191	5.09953567355091	NA	NA	NA
A6NDU8	CE051	UPF0600 protein C5orf51 OS=Homo sapiens GN=C5orf51 PE=1 SV=1	2	0.0719692205767668	6.29405261381605	NA	NA	NA	NA	0.308009491858966	6.66142302744045	6.73339224801722	6.42538275615825	6.60574406285766	6.76629226543572	6.19658456363045	6.00610563463408	5.98949587320956	5.94318459129689	NA	NA	NA
A8MWD9	RUXGL	Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens GN=SNRPGP15 PE=5 SV=2	3	-0.0793090595055137	7.58637630600863	-0.483076219122132	0.634877245304662	0.998972140838833	-4.65856344098996	0.265624329076915	7.2956787495693	7.21636969006379	7.03005442049239	7.35843142862635	7.26812422743041	6.98397078970631	8.8020547027042	8.81158112210461	8.58941038747495	7.27192984397086	7.11478344724985	7.06216181088941
B5ME19	EIFCL	Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens GN=EIF3CL PE=3 SV=1	2	-0.37195655649749	8.29129559473397	NA	NA	NA	NA	-0.831014130472844	7.19489586441596	6.82293930791847	8.0259099948888	6.77271516872353	6.49116593506834	8.28424574982967	9.11392816424978	8.65156428490999	9.26442584408933	NA	NA	NA
B9A064	IGLL5	Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens GN=IGLL5 PE=2 SV=2	3	-0.178275745020068	9.11633309274947	-0.604490150190836	0.553077729776673	0.998972140838833	-4.6483595225522	-1.17976222267448	9.67746481163524	9.49918906661518	10.8572270343097	10.0922097037858	9.75967422345563	11.1746760596882	9.60399717008549	9.66439648900396	10.2833529827383	9.28593058182032	9.02323950817182	11.0633950812885
E9PAV3	NACAM	Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens GN=NACA PE=1 SV=1	3	0.0902496227099094	7.55268763060737	0.396953665464201	0.696078581789906	0.998972140838833	-4.66448233920544	-0.531680465291236	6.32706098033594	6.41731060304585	6.94899106833708	6.33959553687446	6.61828061331015	6.75755668893945	9.37218100891549	9.02321970276652	9.45594362494581	6.51997316057235	6.86099825841535	7.88403965648048
O00151	PDLI1	PDZ and LIM domain protein 1 OS=Homo sapiens GN=PDLIM1 PE=1 SV=4	3	0.0798070591946995	6.92988905866452	0.37059429034895	0.715274013455597	0.998972140838833	-4.66607012983584	-0.603062559196927	6.68121723473915	6.76102429393385	7.36408685313077	6.55524646547352	6.55283374800511	7.91104951846922	8.38758656581935	8.30365029969011	8.52042224852645	5.43938567643554	5.7651558376173	5.99935579590763
O00170	AIP	AH receptor-interacting protein OS=Homo sapiens GN=AIP PE=1 SV=2	2	-0.0919867506487373	6.88959731462166	NA	NA	NA	NA	0.0662975657210838	5.80689031053967	5.71490355989093	5.74059274481859	5.65861954244647	5.66106547980695	5.76344951566689	7.81442224656679	7.62800280790883	7.57699714190419	NA	NA	NA
O00193	SMAP	Small acidic protein OS=Homo sapiens GN=SMAP PE=1 SV=1	1	-0.0340969674076206	7.20265487566763	NA	NA	NA	NA	0.650576040501542	7.57148179115301	7.53738482374539	6.92090575065147	7.57148179115301	7.53738482374539	6.92090575065147	NA	NA	NA	NA	NA	NA
O00232	PSD12	26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens GN=PSMD12 PE=1 SV=3	2	-0.133634464459162	7.91585245198975	NA	NA	NA	NA	-0.675120792586307	8.04690600963174	7.91327154517258	8.72202680221804	7.88978641238614	8.06485822191817	9.01300356811629	7.66137093060894	7.2190301921586	7.88839536005141	NA	NA	NA
O00233	PSMD9	26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens GN=PSMD9 PE=1 SV=3	2	-0.161530953468619	8.07244044830489	NA	NA	NA	NA	0.533173286960308	8.8318286426095	8.67029768914088	8.29865535564919	9.02145593188345	8.84817580109804	8.2701284348019	7.83071891512311	7.68093713897129	7.51569983828404	NA	NA	NA
O00267	SPT5H	Transcription elongation factor SPT5 OS=Homo sapiens GN=SUPT5H PE=1 SV=1	1	0.157259709586216	4.30026994847615	NA	NA	NA	NA	0.632597719132875	4.65780330760665	4.81506301719287	4.18246529805999	4.65780330760665	4.81506301719287	4.18246529805999	NA	NA	NA	NA	NA	NA
O00299	CLIC1	Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4	3	-0.0898191003019537	8.11585865738353	-0.570234892112317	0.575582625302116	0.998972140838833	-4.65145468364206	-0.114806858719552	8.74574956386364	8.65593046356169	8.86055642258319	8.77337472954135	8.90355910719991	8.90114704130522	8.37208770407196	7.9442728176116	8.3589964896849	6.94853410395094	6.97670731184688	7.17827358273277
O00401	WASL	Neural Wiskott-Aldrich syndrome protein OS=Homo sapiens GN=WASL PE=1 SV=2	1	-0.0671862963628573	6.64365757230422	NA	NA	NA	NA	-0.433359900030777	6.57418802912698	6.50700173276412	7.00754792915776	6.57418802912698	6.50700173276412	7.00754792915776	NA	NA	NA	NA	NA	NA
O00422	SAP18	Histone deacetylase complex subunit SAP18 OS=Homo sapiens GN=SAP18 PE=1 SV=1	3	-0.102187122069614	8.73272104134975	-0.422797513127751	0.677461430096366	0.998972140838833	-4.66282323559016	0.132490501947476	8.90828000661155	8.80609288454193	8.77578950466407	8.79106983847011	8.79916596071768	8.33280382032295	10.0436425199453	9.76430292890733	9.70860357298911	7.24337802774751	7.20806013032908	7.63921148700846
